sample_id,sample_name,seqnames,start,end,width,strand,score,gene_name,gene_id,query
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,5,*,31,globin,globin,85
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,5,*,31,globin,globin,85
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,5,*,31,globin,globin,85
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,5,*,31,globin,globin,85
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,5,*,31,globin,globin,85
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,3,*,32,globin,globin,86
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,3,*,32,globin,globin,86
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,3,*,32,globin,globin,86
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,56,globin,globin,87
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,158,globin,globin,88
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,181,globin,globin,89
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,242,globin,globin,90
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,315,globin,globin,91
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,797,globin,globin,92
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,2050,globin,globin,93
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,2240,globin,globin,94
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,3030,globin,globin,95
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,3260,globin,globin,96
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,4640,globin,globin,97
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,6180,globin,globin,98
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,7080,globin,globin,99
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,8800,globin,globin,100
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,9340,globin,globin,101
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,9590,globin,globin,102
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,11200,globin,globin,103
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,11900,globin,globin,104
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,12000,globin,globin,105
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,13200,globin,globin,106
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,13300,globin,globin,107
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,15100,globin,globin,108
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,15900,globin,globin,109
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,16300,globin,globin,110
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,16400,globin,globin,111
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,16400,globin,globin,112
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,16500,globin,globin,113
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,16500,globin,globin,114
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,17100,globin,globin,115
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,17200,globin,globin,116
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,17400,globin,globin,117
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,17400,globin,globin,118
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,17400,globin,globin,119
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,17500,globin,globin,120
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,18800,globin,globin,121
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,19100,globin,globin,122
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,19300,globin,globin,123
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,19400,globin,globin,124
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,19400,globin,globin,125
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,19600,globin,globin,126
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,19900,globin,globin,127
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,19900,globin,globin,128
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,19900,globin,globin,129
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,20000,globin,globin,130
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,20200,globin,globin,131
226p12,FLUC,pHPHS232_pHPHS800_pAS321,22300,22300,1,*,20300,globin,globin,132
